batch,app,total,translated,missing,proposed,released,invalid_qa,cross_conflict
batch-01-construction-accounting,construction,5,2,3,0,3,0,1
batch-01-construction-accounting,erpnext,1264,634,630,0,7,203,0
batch-01-construction-accounting,frappe,113,59,54,0,0,13,1
batch-01-construction-accounting,ALL,1382,695,687,0,10,216,2
batch-02-contracts-subcontractors-certificates,construction,5,2,3,0,4,0,0
batch-02-contracts-subcontractors-certificates,erpnext,121,23,98,0,0,35,0
batch-02-contracts-subcontractors-certificates,ALL,126,25,101,0,4,35,0
batch-03-boq-estimation-project-costing,construction,10,9,1,0,1,0,1
batch-03-boq-estimation-project-costing,erpnext,241,122,119,0,0,52,1
batch-03-boq-estimation-project-costing,frappe,7,2,5,0,0,2,0
batch-03-boq-estimation-project-costing,ALL,258,133,125,0,1,54,2
batch-04-purchasing-inventory-site-materials,construction,1,1,0,0,0,0,1
batch-04-purchasing-inventory-site-materials,erpnext,1420,683,737,0,0,269,1
batch-04-purchasing-inventory-site-materials,frappe,32,22,10,0,1,2,0
batch-04-purchasing-inventory-site-materials,ALL,1453,706,747,0,1,271,2
batch-05-core-actions-errors,construction,12,12,0,0,0,1,1
batch-05-core-actions-errors,erpnext,367,144,223,0,0,80,0
batch-05-core-actions-errors,frappe,519,234,285,0,2,69,1
batch-05-core-actions-errors,ALL,898,390,508,0,2,150,2
batch-06-payroll-labor,erpnext,67,41,26,0,0,10,0
batch-06-payroll-labor,frappe,5,5,0,0,0,0,0
batch-06-payroll-labor,ALL,72,46,26,0,0,10,0
batch-07-manufacturing,erpnext,137,76,61,0,0,15,0
batch-07-manufacturing,ALL,137,76,61,0,0,15,0
batch-08-technical-administration,construction,184,182,2,0,3,0,33
batch-08-technical-administration,erpnext,5380,2931,2449,0,1,373,4
batch-08-technical-administration,frappe,5232,2583,2649,0,6,393,29
batch-08-technical-administration,ALL,10796,5696,5100,0,10,766,66
