app,source_text,suggested_ar,status
construction,"""
""Warning: The following color pairs have contrast ratios below WCAG AA standard (4.5:1):
""
""{0}
""
""
""
""Consider adjusting colors for better accessibility.",,unreviewed
erpnext, Address,,unreviewed
erpnext, Amount,,unreviewed
erpnext, BOM,,unreviewed
erpnext, Is Child Table,,unreviewed
erpnext, Is Subcontracted,,unreviewed
erpnext, Item,,unreviewed
erpnext, Name,,unreviewed
erpnext, Phantom Item,,unreviewed
erpnext, Rate,,unreviewed
erpnext, Raw Material,,unreviewed
erpnext, Skip Material Transfer,,unreviewed
erpnext, Sub Assembly,,unreviewed
erpnext, Summary,,unreviewed
erpnext,# In Stock,,unreviewed
erpnext,# Req'd Items,,unreviewed
erpnext,% of materials billed against this Sales Order,,unreviewed
erpnext,% of materials delivered against this Pick List,,unreviewed
erpnext,% of materials delivered against this Sales Order,,unreviewed
erpnext,'Account' in the Accounting section of Customer {0},,unreviewed
erpnext,'Allow Multiple Sales Orders Against a Customer's Purchase Order',,unreviewed
erpnext,'Default {0} Account' in Company {1},,unreviewed
erpnext,"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI",,unreviewed
erpnext,"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI",,unreviewed
erpnext,'To Package No.' cannot be less than 'From Package No.',,unreviewed
erpnext,'{0}' account is already used by {1}. Use another account.,,unreviewed
erpnext,'{0}' has been already added.,,unreviewed
erpnext,'{0}' should be in company currency {1}.,,unreviewed
erpnext,(A) Qty After Transaction,,unreviewed
erpnext,(B) Expected Qty After Transaction,,unreviewed
erpnext,(C) Total Qty in Queue,,unreviewed
erpnext,(C) Total qty in queue,,unreviewed
erpnext,(D) Balance Stock Value,,unreviewed
erpnext,(Daily Yield * No of Units Produced) / 100,,unreviewed
erpnext,(E) Balance Stock Value in Queue,,unreviewed
erpnext,(F) Change in Stock Value,,unreviewed
erpnext,(G) Sum of Change in Stock Value,,unreviewed
erpnext,(Good Units Produced / Total Units Produced) × 100,,unreviewed
erpnext,(H) Change in Stock Value (FIFO Queue),,unreviewed
erpnext,(H) Valuation Rate,,unreviewed
erpnext,(I) Valuation Rate,,unreviewed
erpnext,(J) Valuation Rate as per FIFO,,unreviewed
erpnext,(K) Valuation = Value (D) ÷ Qty (A),,unreviewed
erpnext,(Purchase Order + Material Request + Actual Expense),,unreviewed
erpnext,(Total Workstation Time / Manufacturing Time) * 60,,unreviewed
erpnext,0 - 30 Days,,unreviewed
erpnext,0-30,,unreviewed
erpnext,0-30 Days,,unreviewed
erpnext,1-10,,unreviewed
erpnext,1000+,,unreviewed
erpnext,11-50,,unreviewed
erpnext,1{0},,unreviewed
erpnext,201-500,,unreviewed
erpnext,30 - 60 Days,,unreviewed
erpnext,30-60,,unreviewed
erpnext,30-60 Days,,unreviewed
erpnext,501-1000,,unreviewed
erpnext,51-200,,unreviewed
erpnext,60 - 90 Days,,unreviewed
erpnext,60-90,,unreviewed
erpnext,60-90 Days,,unreviewed
erpnext,90 - 120 Days,,unreviewed
erpnext,90 Above,,unreviewed
erpnext,"<b>Cannot create asset.</b><br><br>You're trying to create <b>{0} asset(s)</b> from {2} {3}.<br>However, only <b>{1} item(s)</b> were purchased and <b>{4} asset(s)</b> already exist against {5}.",,unreviewed
erpnext,<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,,unreviewed
erpnext,"<br>
""
""<h4>Note</h4>
""
""<ul>
""
""<li>
""
""You can use <a href=\""https://jinja.palletsprojects.com/en/2.11.x/\"" target=\""_blank\"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
""
""</li><li>
""
""    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
""
""</li></ul>
""
""<h4> Examples</h4>
""
""<!-- {% raw %} -->
""
""<ul>
""
""    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
""
""    <li><b>Body</b>: <br><br>
""
""<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
""
""</ul>
""
""<!-- {% endraw %} -->",,unreviewed
erpnext,"<div class=\""columnHeading\"">Other Details</div>",,unreviewed
erpnext,"<div class=\""text-muted text-center\"">No Matching Bank Transactions Found</div>",,unreviewed
erpnext,"<div class=\""text-muted text-center\"">{0}</div>",,unreviewed
erpnext,"<div>
""
""<h3> All dimensions in centimeter only </h3>
""
""</div>",,unreviewed
erpnext,"<h3>About Product Bundle</h3>

""
""<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
""
""<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
""
""<h4>Example:</h4>
""
""<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>",,unreviewed
erpnext,"<h3>Currency Exchange Settings Help</h3>
""
""<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
""
""<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
""
""<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>",,unreviewed
erpnext,"<h4>Body Text and Closing Text Example</h4>

""
""<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(\""Currency\"", currency, \""symbol\"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>

""
""<h4>How to get fieldnames</h4>

""
""<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

""
""<h4>Templating</h4>

""
""<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=\""strong\"" href=\""http://jinja.pocoo.org/docs/dev/templates/\"">read this documentation.</a></p>",,unreviewed
erpnext,"<h4>Contract Template Example</h4>

""
""<pre>Contract for Customer {{ party_name }}

""
""-Valid From : {{ start_date }} 
""
""-Valid To : {{ end_date }}
""
""</pre>

""
""<h4>How to get fieldnames</h4>

""
""<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

""
""<h4>Templating</h4>

""
""<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=\""strong\"" href=\""http://jinja.pocoo.org/docs/dev/templates/\"">read this documentation.</a></p>",,unreviewed
erpnext,"<h4>Standard Terms and Conditions Example</h4>

""
""<pre>Delivery Terms for Order number {{ name }}

""
""-Order Date : {{ transaction_date }} 
""
""-Expected Delivery Date : {{ delivery_date }}
""
""</pre>

""
""<h4>How to get fieldnames</h4>

""
""<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

""
""<h4>Templating</h4>

""
""<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=\""strong\"" href=\""http://jinja.pocoo.org/docs/dev/templates/\"">read this documentation.</a></p>",,unreviewed
erpnext,"<label class=\""control-label\"" style=\""margin-bottom: 0px;\"">Account Number Settings</label>",,unreviewed
erpnext,"<label class=\""control-label\"" style=\""margin-bottom: 0px;\"">Amount In Words</label>",,unreviewed
erpnext,"<label class=\""control-label\"" style=\""margin-bottom: 0px;\"">Date Settings</label>",,unreviewed
erpnext,<li>Clearance date must be after cheque date for row(s): {0}</li>,,unreviewed
erpnext,<li>Item {0} in row(s) {1} billed more than {2}</li>,,unreviewed
erpnext,"<li>Packed Item {0}: Required {1}, Available {2}</li>",,unreviewed
erpnext,<li>Payment document required for row(s): {0}</li>,,unreviewed
erpnext,<li>{}</li>,,unreviewed
erpnext,<p>Cannot overbill for the following Items:</p>,,unreviewed
erpnext,<p>Following {0}s doesn't belong to Company {1} :</p>,,unreviewed
erpnext,"<p>In your <b>Email Template</b>, you can use the following special variables:
""
""</p>
""
""<ul>
""
""        <li>
""
""            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.
""
""        </li>
""
""        <li>
""
""            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.
""
""        </li>
""
""        <li>
""
""            <code>{{ supplier_name }}</code>: The company name of your supplier.
""
""        </li>
""
""        <li>
""
""            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.
""
""        </li><li>
""
""            <code>{{ user_fullname }}</code>: Your full name.
""
""        </li>
""
""    </ul>
""
""<p></p>
""
""<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>",,unreviewed
erpnext,<p>Please correct the following row(s):</p><ul>,,unreviewed
erpnext,<p>Posting Date {0} cannot be before Purchase Order date for the following:</p><ul>,,unreviewed
erpnext,"<p>Price List Rate has not been set as editable in Selling Settings. In this scenario, setting <strong>Update Price List Based On</strong> to <strong>Price List Rate</strong> will prevent auto-updation of Item Price.</p>Are you sure you want to continue?",,unreviewed
erpnext,"<p>To allow over-billing, please set allowance in Accounts Settings.</p>",,unreviewed
erpnext,"<pre><h5>Message Example</h5>

""
""&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;

""
""&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;

""
""&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;

""
""&lt;a href=\""{{ payment_url }}\""&gt; click here to pay &lt;/a&gt;

""
""</pre>",,unreviewed
erpnext,"<pre><h5>Message Example</h5>

""
""&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;

""
""&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;

""
""&lt;a href=\""{{ payment_url }}\""&gt; click here to pay &lt;/a&gt;

""
""</pre>",,unreviewed
erpnext,"<span class=\""h4\""><b>Masters &amp; Reports</b></span>",,unreviewed
erpnext,"<span class=\""h4\""><b>Quick Access</b></span>",,unreviewed
erpnext,"<span class=\""h4\""><b>Reports & Masters</b></span>",,unreviewed
erpnext,"<span class=\""h4\""><b>Reports &amp; Masters</b></span>",,unreviewed
erpnext,"<span class=\""h4\""><b>Shortcuts</b></span>",,unreviewed
erpnext,"<span class=\""h4\""><b>Subcontracting Inward and Outward</b></span>",,unreviewed
erpnext,"<span class=\""h4\""><b>Your Shortcuts
""
""\t\t\t
""
""\t\t
""
""\t\t\t
""
""\t\t
""
""\t\t\t
""
""\t\t</b></span>",,unreviewed
erpnext,"<span class=\""h4\""><b>Your Shortcuts</b></span>",,unreviewed
erpnext,<strong>Grand Total:</strong> {0},,unreviewed
erpnext,<strong>Outstanding Amount:</strong> {0},,unreviewed
erpnext,"<table class=\""table table-bordered table-condensed\"">
""
""<thead>
""
""  <tr>
""
""         <th class=\""table-sr\"" style=\""width: 50%;\"">Child Document</th>
""
""         <th class=\""table-sr\"" style=\""width: 50%;\"">Non Child Document</th>
""
""   </tr>
""
""</thead>
""
""<tbody>
""
""<tr>
""
""         <td>
""
""                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>

""
""         </td>
""
""         <td>
""
""                    <p>To access document field use doc.fieldname </p>
""
""         </td>
""
""</tr>
""
""<tr>
""
""        <td>
""
""                   <p><b>Example: </b> parent.doctype == \""Stock Entry\"" and doc.item_code == \""Test\"" </p>

""
""        </td>
""
""         <td>
""
""                   <p><b>Example: </b> doc.doctype == \""Stock Entry\"" and doc.purpose == \""Manufacture\""</p>    
""
""          </td>
""
""</tr>

""
""</tbody>
""
""</table>",,unreviewed
erpnext,A - B,,unreviewed
erpnext,A - C,,unreviewed
erpnext,A Holiday List can be added to exclude counting these days for the Workstation.,,unreviewed
erpnext,A Packing Slip can only be created for Draft Delivery Note.,,unreviewed
erpnext,"A Price List is a collection of Item Prices either Selling, Buying, or both",,unreviewed
erpnext,"A Product or a Service that is bought, sold or kept in stock.",,unreviewed
erpnext,A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,,unreviewed
erpnext,A Reverse Journal Entry {0} already exists for this Journal Entry.,,unreviewed
erpnext,A Transaction Deletion Document: {0} is triggered for {0},,unreviewed
