source_text,reason,length
+ Add / Remove Fields,prior_approved_a1a2,21
1 Report,prior_approved_a1a2,8
Add / Remove Columns,prior_approved_a1a2,20
Add Card to Dashboard,prior_approved_a1a2,21
Add Child,prior_approved_a1a2,9
Add Indexes,prior_approved_a1a2,11
Add Multiple,prior_approved_a1a2,12
Add Participants,prior_approved_a1a2,16
Add Roles,prior_approved_a1a2,9
Add Tags,prior_approved_a1a2,8
Add Template,prior_approved_a1a2,12
Add Translate Data,prior_approved_a1a2,18
Add Video Conferencing,prior_approved_a1a2,22
Add a Filter,prior_approved_a1a2,12
Add a New Role,prior_approved_a1a2,14
Add a Row,prior_approved_a1a2,9
Add a new section,prior_approved_a1a2,17
Add a row above the current row,prior_approved_a1a2,31
Add a row at the bottom,prior_approved_a1a2,23
Add a row at the top,prior_approved_a1a2,20
Add a row below the current row,prior_approved_a1a2,31
Add column,prior_approved_a1a2,10
Add field,prior_approved_a1a2,9
Add new tab,prior_approved_a1a2,11
Add numbers or special characters.,prior_approved_a1a2,34
Add page break,prior_approved_a1a2,14
Add tab,prior_approved_a1a2,7
Add to this activity by mailing to {0},prior_approved_a1a2,38
Add {0},prior_approved_a1a2,7
After Rename,prior_approved_a1a2,12
Apps with Search,prior_approved_a1a2,16
Assign To User Group,prior_approved_a1a2,20
Assign a user,prior_approved_a1a2,13
Attach Files,prior_approved_a1a2,12
Attach Package,prior_approved_a1a2,14
Attach a web link,prior_approved_a1a2,17
Auto Email Report,prior_approved_a1a2,17
Automatically Assign Documents to Users,prior_approved_a1a2,39
Before Print,prior_approved_a1a2,12
Before Rename,prior_approved_a1a2,13
Brand Logo with Search,prior_approved_a1a2,22
Bulk Edit,prior_approved_a1a2,9
Bulk PDF Export,prior_approved_a1a2,15
Bulk Update,prior_approved_a1a2,11
Cancel All,prior_approved_a1a2,10
Cancel Import,prior_approved_a1a2,13
Cancel Prepared Report,prior_approved_a1a2,22
Cannot Update After Submit,prior_approved_a1a2,26
Change Print Format,prior_approved_a1a2,19
Child Item,prior_approved_a1a2,10
Clear & Add Template,prior_approved_a1a2,20
Clear & Add template,prior_approved_a1a2,20
Close properties,prior_approved_a1a2,16
Copy Link,prior_approved_a1a2,9
Copy embed code,prior_approved_a1a2,15
Copy error to clipboard,prior_approved_a1a2,23
Copy to Clipboard,prior_approved_a1a2,17
Copy token to clipboard,prior_approved_a1a2,23
Create & Continue,prior_approved_a1a2,17
Create Address,prior_approved_a1a2,14
Create Child Doctype,prior_approved_a1a2,20
Create Letter Head,prior_approved_a1a2,18
